lstat,rm,dis,crim,nox,medv
4.98,6.575,4.09,0.00632,0.538,24.0
9.14,6.421,4.9671,0.02731,0.469,21.6
2.94,6.998,6.0622,0.03237,0.458,33.4
5.33,7.147,6.0622,0.06905,0.458,36.2
12.43,6.012,5.5605,0.08829,0.524,22.9
20.45,6.377,6.3467,0.22489,0.524,15.0
13.27,6.009,6.2267,0.11747,0.524,18.9
15.71,5.889,5.4509,0.09378,0.524,21.7
8.26,5.949,4.7075,0.62976,0.538,20.4
10.26,6.096,4.4619,0.63796,0.538,18.2
8.47,5.834,4.4986,0.62739,0.538,19.9
6.58,5.935,4.4986,1.05393,0.538,23.1
11.69,5.456,3.7965,0.80271,0.538,20.2
21.02,5.57,3.7979,1.25179,0.538,13.6
13.83,5.965,4.0123,0.85204,0.538,19.6
18.72,6.142,3.9769,1.23247,0.538,15.2
19.88,5.813,4.0952,0.98843,0.538,14.5
17.28,6.047,4.4534,0.95577,0.538,14.8
22.6,5.713,4.233,1.13081,0.538,12.7
13.04,6.072,4.175,1.35472,0.538,14.5
20.34,6.096,3.7598,1.61282,0.538,13.5
10.13,5.966,3.8473,0.17505,0.499,24.7
4.32,6.595,5.4011,0.02763,0.428,30.8
1.98,7.024,5.4011,0.03359,0.428,34.9
5.81,6.169,5.7209,0.1415,0.448,25.3
7.44,6.211,5.7209,0.15936,0.448,24.7
9.55,6.069,5.7209,0.12269,0.448,21.2
10.21,5.682,5.1004,0.17142,0.448,19.3
14.15,5.786,5.1004,0.18836,0.448,20.0
18.8,6.03,5.6894,0.22927,0.448,16.6
16.2,5.602,6.0877,0.21977,0.448,19.4
13.45,5.963,6.8147,0.08873,0.439,19.7
9.43,6.115,6.8147,0.04337,0.439,20.5
8.43,5.998,6.8147,0.04981,0.439,23.4
14.8,5.888,7.3197,0.0136,0.41,18.9
4.81,7.249,8.6966,0.01311,0.403,35.4
5.77,6.383,9.1876,0.02055,0.41,24.7
3.95,6.816,8.3248,0.01432,0.411,31.6
6.86,6.145,7.8148,0.15445,0.453,23.3
13.15,5.741,7.2254,0.14932,0.453,18.7
14.44,5.966,6.8185,0.17171,0.453,16.0
9.5,6.762,7.9809,0.1265,0.453,25.0
8.05,7.104,9.2229,0.01951,0.4161,33.0
4.67,6.29,6.6115,0.03584,0.398,23.5
10.24,5.787,6.6115,0.04379,0.398,19.4
8.1,5.878,6.498,0.05789,0.409,22.0
13.09,5.594,6.498,0.13554,0.409,17.4
6.72,6.417,5.2873,0.08826,0.413,24.2
5.52,6.065,5.2873,0.09164,0.413,22.8
